PING 10.0.0.3 (10.0.0.3) 56(84) bytes of data.
64 bytes from 10.0.0.3: icmp_seq=121 ttl=64 time=1.31 ms
64 bytes from 10.0.0.3: icmp_seq=122 ttl=64 time=1.31 ms
64 bytes from 10.0.0.3: icmp_seq=123 ttl=64 time=1.38 ms
64 bytes from 10.0.0.3: icmp_seq=124 ttl=64 time=1.33 ms
64 bytes from 10.0.0.3: icmp_seq=125 ttl=64 time=0.902 ms
64 bytes from 10.0.0.3: icmp_seq=126 ttl=64 time=3.44 ms
64 bytes from 10.0.0.3: icmp_seq=127 ttl=64 time=1.26 ms
64 bytes from 10.0.0.3: icmp_seq=128 ttl=64 time=0.147 ms
64 bytes from 10.0.0.3: icmp_seq=129 ttl=64 time=1.33 ms
64 bytes from 10.0.0.3: icmp_seq=130 ttl=64 time=0.460 ms
64 bytes from 10.0.0.3: icmp_seq=131 ttl=64 time=0.505 ms
64 bytes from 10.0.0.3: icmp_seq=132 ttl=64 time=0.536 ms
64 bytes from 10.0.0.3: icmp_seq=133 ttl=64 time=0.532 ms
64 bytes from 10.0.0.3: icmp_seq=134 ttl=64 time=1.56 ms
64 bytes from 10.0.0.3: icmp_seq=135 ttl=64 time=0.433 ms
64 bytes from 10.0.0.3: icmp_seq=136 ttl=64 time=1.30 ms
64 bytes from 10.0.0.3: icmp_seq=137 ttl=64 time=0.412 ms
64 bytes from 10.0.0.3: icmp_seq=138 ttl=64 time=0.147 ms
64 bytes from 10.0.0.3: icmp_seq=139 ttl=64 time=0.879 ms
64 bytes from 10.0.0.3: icmp_seq=140 ttl=64 time=0.562 ms
64 bytes from 10.0.0.3: icmp_seq=141 ttl=64 time=0.147 ms
64 bytes from 10.0.0.3: icmp_seq=142 ttl=64 time=0.129 ms
64 bytes from 10.0.0.3: icmp_seq=143 ttl=64 time=0.184 ms
64 bytes from 10.0.0.3: icmp_seq=144 ttl=64 time=0.167 ms
64 bytes from 10.0.0.3: icmp_seq=145 ttl=64 time=0.517 ms
64 bytes from 10.0.0.3: icmp_seq=146 ttl=64 time=0.349 ms
64 bytes from 10.0.0.3: icmp_seq=147 ttl=64 time=0.823 ms
64 bytes from 10.0.0.3: icmp_seq=148 ttl=64 time=0.974 ms
64 bytes from 10.0.0.3: icmp_seq=149 ttl=64 time=0.510 ms
64 bytes from 10.0.0.3: icmp_seq=150 ttl=64 time=0.745 ms
64 bytes from 10.0.0.3: icmp_seq=151 ttl=64 time=0.577 ms
64 bytes from 10.0.0.3: icmp_seq=152 ttl=64 time=0.438 ms
64 bytes from 10.0.0.3: icmp_seq=153 ttl=64 time=0.470 ms
64 bytes from 10.0.0.3: icmp_seq=154 ttl=64 time=0.649 ms
64 bytes from 10.0.0.3: icmp_seq=155 ttl=64 time=1.41 ms
64 bytes from 10.0.0.3: icmp_seq=156 ttl=64 time=2.29 ms
64 bytes from 10.0.0.3: icmp_seq=157 ttl=64 time=0.791 ms
64 bytes from 10.0.0.3: icmp_seq=158 ttl=64 time=0.864 ms
64 bytes from 10.0.0.3: icmp_seq=159 ttl=64 time=0.213 ms
64 bytes from 10.0.0.3: icmp_seq=160 ttl=64 time=0.963 ms
64 bytes from 10.0.0.3: icmp_seq=161 ttl=64 time=1.44 ms
64 bytes from 10.0.0.3: icmp_seq=162 ttl=64 time=0.523 ms
64 bytes from 10.0.0.3: icmp_seq=163 ttl=64 time=0.186 ms
64 bytes from 10.0.0.3: icmp_seq=164 ttl=64 time=0.543 ms
64 bytes from 10.0.0.3: icmp_seq=165 ttl=64 time=1.07 ms
64 bytes from 10.0.0.3: icmp_seq=166 ttl=64 time=1.14 ms
64 bytes from 10.0.0.3: icmp_seq=167 ttl=64 time=1.27 ms
64 bytes from 10.0.0.3: icmp_seq=168 ttl=64 time=1.56 ms
64 bytes from 10.0.0.3: icmp_seq=169 ttl=64 time=1.26 ms
64 bytes from 10.0.0.3: icmp_seq=170 ttl=64 time=0.127 ms
64 bytes from 10.0.0.3: icmp_seq=171 ttl=64 time=0.190 ms
64 bytes from 10.0.0.3: icmp_seq=172 ttl=64 time=0.130 ms
64 bytes from 10.0.0.3: icmp_seq=173 ttl=64 time=0.669 ms
64 bytes from 10.0.0.3: icmp_seq=174 ttl=64 time=0.993 ms
64 bytes from 10.0.0.3: icmp_seq=175 ttl=64 time=1.41 ms
64 bytes from 10.0.0.3: icmp_seq=176 ttl=64 time=0.871 ms
64 bytes from 10.0.0.3: icmp_seq=177 ttl=64 time=0.533 ms
64 bytes from 10.0.0.3: icmp_seq=178 ttl=64 time=1.31 ms
64 bytes from 10.0.0.3: icmp_seq=179 ttl=64 time=1.31 ms
64 bytes from 10.0.0.3: icmp_seq=180 ttl=64 time=1.33 ms
64 bytes from 10.0.0.3: icmp_seq=181 ttl=64 time=0.820 ms
64 bytes from 10.0.0.3: icmp_seq=182 ttl=64 time=1.42 ms
64 bytes from 10.0.0.3: icmp_seq=183 ttl=64 time=1.39 ms
64 bytes from 10.0.0.3: icmp_seq=184 ttl=64 time=1.27 ms
64 bytes from 10.0.0.3: icmp_seq=185 ttl=64 time=1.32 ms
64 bytes from 10.0.0.3: icmp_seq=186 ttl=64 time=1.19 ms
64 bytes from 10.0.0.3: icmp_seq=187 ttl=64 time=1.46 ms
64 bytes from 10.0.0.3: icmp_seq=188 ttl=64 time=3.76 ms
64 bytes from 10.0.0.3: icmp_seq=189 ttl=64 time=1.91 ms
64 bytes from 10.0.0.3: icmp_seq=190 ttl=64 time=1.20 ms
64 bytes from 10.0.0.3: icmp_seq=191 ttl=64 time=1.41 ms
64 bytes from 10.0.0.3: icmp_seq=192 ttl=64 time=1.30 ms
64 bytes from 10.0.0.3: icmp_seq=193 ttl=64 time=1.32 ms
64 bytes from 10.0.0.3: icmp_seq=194 ttl=64 time=1.70 ms
64 bytes from 10.0.0.3: icmp_seq=195 ttl=64 time=1.26 ms
64 bytes from 10.0.0.3: icmp_seq=196 ttl=64 time=1.38 ms
64 bytes from 10.0.0.3: icmp_seq=197 ttl=64 time=2.47 ms
64 bytes from 10.0.0.3: icmp_seq=198 ttl=64 time=0.135 ms
64 bytes from 10.0.0.3: icmp_seq=199 ttl=64 time=0.607 ms
64 bytes from 10.0.0.3: icmp_seq=200 ttl=64 time=1.10 ms
64 bytes from 10.0.0.3: icmp_seq=201 ttl=64 time=1.30 ms
64 bytes from 10.0.0.3: icmp_seq=202 ttl=64 time=1.32 ms
64 bytes from 10.0.0.3: icmp_seq=203 ttl=64 time=1.31 ms
64 bytes from 10.0.0.3: icmp_seq=204 ttl=64 time=1.31 ms
64 bytes from 10.0.0.3: icmp_seq=205 ttl=64 time=1.42 ms
64 bytes from 10.0.0.3: icmp_seq=206 ttl=64 time=0.662 ms
64 bytes from 10.0.0.3: icmp_seq=207 ttl=64 time=1.46 ms
64 bytes from 10.0.0.3: icmp_seq=208 ttl=64 time=0.197 ms
64 bytes from 10.0.0.3: icmp_seq=209 ttl=64 time=0.626 ms
64 bytes from 10.0.0.3: icmp_seq=210 ttl=64 time=1.14 ms
64 bytes from 10.0.0.3: icmp_seq=211 ttl=64 time=0.225 ms
64 bytes from 10.0.0.3: icmp_seq=212 ttl=64 time=1.29 ms
64 bytes from 10.0.0.3: icmp_seq=213 ttl=64 time=1.50 ms
64 bytes from 10.0.0.3: icmp_seq=214 ttl=64 time=0.627 ms
64 bytes from 10.0.0.3: icmp_seq=215 ttl=64 time=0.157 ms
64 bytes from 10.0.0.3: icmp_seq=216 ttl=64 time=1.18 ms
64 bytes from 10.0.0.3: icmp_seq=217 ttl=64 time=0.440 ms
64 bytes from 10.0.0.3: icmp_seq=218 ttl=64 time=1.33 ms
64 bytes from 10.0.0.3: icmp_seq=219 ttl=64 time=1.45 ms
64 bytes from 10.0.0.3: icmp_seq=220 ttl=64 time=1.38 ms
64 bytes from 10.0.0.3: icmp_seq=221 ttl=64 time=1.50 ms
64 bytes from 10.0.0.3: icmp_seq=222 ttl=64 time=2.93 ms
64 bytes from 10.0.0.3: icmp_seq=223 ttl=64 time=1.63 ms
64 bytes from 10.0.0.3: icmp_seq=224 ttl=64 time=0.412 ms
64 bytes from 10.0.0.3: icmp_seq=225 ttl=64 time=1.17 ms
64 bytes from 10.0.0.3: icmp_seq=226 ttl=64 time=1.32 ms
64 bytes from 10.0.0.3: icmp_seq=227 ttl=64 time=0.599 ms
64 bytes from 10.0.0.3: icmp_seq=228 ttl=64 time=0.405 ms
64 bytes from 10.0.0.3: icmp_seq=229 ttl=64 time=0.354 ms
64 bytes from 10.0.0.3: icmp_seq=230 ttl=64 time=1.47 ms
64 bytes from 10.0.0.3: icmp_seq=231 ttl=64 time=1.30 ms
64 bytes from 10.0.0.3: icmp_seq=232 ttl=64 time=0.396 ms
64 bytes from 10.0.0.3: icmp_seq=233 ttl=64 time=0.138 ms
64 bytes from 10.0.0.3: icmp_seq=234 ttl=64 time=0.947 ms
64 bytes from 10.0.0.3: icmp_seq=235 ttl=64 time=0.516 ms
64 bytes from 10.0.0.3: icmp_seq=236 ttl=64 time=1.22 ms
64 bytes from 10.0.0.3: icmp_seq=237 ttl=64 time=0.656 ms
64 bytes from 10.0.0.3: icmp_seq=238 ttl=64 time=0.504 ms
64 bytes from 10.0.0.3: icmp_seq=239 ttl=64 time=1.25 ms
64 bytes from 10.0.0.3: icmp_seq=240 ttl=64 time=0.952 ms
64 bytes from 10.0.0.3: icmp_seq=241 ttl=64 time=1.22 ms
64 bytes from 10.0.0.3: icmp_seq=242 ttl=64 time=0.863 ms
64 bytes from 10.0.0.3: icmp_seq=243 ttl=64 time=1.15 ms
64 bytes from 10.0.0.3: icmp_seq=244 ttl=64 time=1.32 ms
64 bytes from 10.0.0.3: icmp_seq=245 ttl=64 time=1.25 ms
64 bytes from 10.0.0.3: icmp_seq=246 ttl=64 time=1.33 ms
64 bytes from 10.0.0.3: icmp_seq=247 ttl=64 time=0.135 ms
64 bytes from 10.0.0.3: icmp_seq=248 ttl=64 time=1.35 ms
64 bytes from 10.0.0.3: icmp_seq=249 ttl=64 time=1.49 ms
64 bytes from 10.0.0.3: icmp_seq=250 ttl=64 time=0.146 ms
64 bytes from 10.0.0.3: icmp_seq=251 ttl=64 time=0.427 ms
64 bytes from 10.0.0.3: icmp_seq=252 ttl=64 time=1.85 ms
64 bytes from 10.0.0.3: icmp_seq=253 ttl=64 time=0.244 ms
