PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=381 ttl=64 time=30.5 ms
64 bytes from 10.0.0.2: icmp_seq=382 ttl=64 time=29.2 ms
64 bytes from 10.0.0.2: icmp_seq=383 ttl=64 time=29.2 ms
64 bytes from 10.0.0.2: icmp_seq=384 ttl=64 time=30.7 ms
64 bytes from 10.0.0.2: icmp_seq=385 ttl=64 time=30.0 ms
64 bytes from 10.0.0.2: icmp_seq=386 ttl=64 time=31.1 ms
64 bytes from 10.0.0.2: icmp_seq=388 ttl=64 time=28.3 ms
64 bytes from 10.0.0.2: icmp_seq=393 ttl=64 time=28.2 ms
64 bytes from 10.0.0.2: icmp_seq=400 ttl=64 time=26.7 ms
64 bytes from 10.0.0.2: icmp_seq=403 ttl=64 time=25.6 ms
64 bytes from 10.0.0.2: icmp_seq=404 ttl=64 time=30.4 ms
64 bytes from 10.0.0.2: icmp_seq=406 ttl=64 time=25.6 ms
64 bytes from 10.0.0.2: icmp_seq=408 ttl=64 time=27.3 ms
64 bytes from 10.0.0.2: icmp_seq=409 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=410 ttl=64 time=30.8 ms
64 bytes from 10.0.0.2: icmp_seq=412 ttl=64 time=30.1 ms
64 bytes from 10.0.0.2: icmp_seq=415 ttl=64 time=29.9 ms
64 bytes from 10.0.0.2: icmp_seq=420 ttl=64 time=26.7 ms
64 bytes from 10.0.0.2: icmp_seq=423 ttl=64 time=29.6 ms
64 bytes from 10.0.0.2: icmp_seq=424 ttl=64 time=31.2 ms
64 bytes from 10.0.0.2: icmp_seq=425 ttl=64 time=33.9 ms
64 bytes from 10.0.0.2: icmp_seq=426 ttl=64 time=29.5 ms
64 bytes from 10.0.0.2: icmp_seq=429 ttl=64 time=36.4 ms
64 bytes from 10.0.0.2: icmp_seq=430 ttl=64 time=31.2 ms
64 bytes from 10.0.0.2: icmp_seq=432 ttl=64 time=31.5 ms
64 bytes from 10.0.0.2: icmp_seq=433 ttl=64 time=32.1 ms
64 bytes from 10.0.0.2: icmp_seq=434 ttl=64 time=30.8 ms
64 bytes from 10.0.0.2: icmp_seq=436 ttl=64 time=26.5 ms
64 bytes from 10.0.0.2: icmp_seq=439 ttl=64 time=25.9 ms
64 bytes from 10.0.0.2: icmp_seq=443 ttl=64 time=37.9 ms
64 bytes from 10.0.0.2: icmp_seq=444 ttl=64 time=27.2 ms
64 bytes from 10.0.0.2: icmp_seq=445 ttl=64 time=33.6 ms
64 bytes from 10.0.0.2: icmp_seq=446 ttl=64 time=30.8 ms
64 bytes from 10.0.0.2: icmp_seq=450 ttl=64 time=29.6 ms
64 bytes from 10.0.0.2: icmp_seq=458 ttl=64 time=30.1 ms
64 bytes from 10.0.0.2: icmp_seq=459 ttl=64 time=36.3 ms
64 bytes from 10.0.0.2: icmp_seq=460 ttl=64 time=27.6 ms
64 bytes from 10.0.0.2: icmp_seq=461 ttl=64 time=33.5 ms
64 bytes from 10.0.0.2: icmp_seq=462 ttl=64 time=28.4 ms
64 bytes from 10.0.0.2: icmp_seq=468 ttl=64 time=23.7 ms
64 bytes from 10.0.0.2: icmp_seq=469 ttl=64 time=26.6 ms
64 bytes from 10.0.0.2: icmp_seq=470 ttl=64 time=27.6 ms
64 bytes from 10.0.0.2: icmp_seq=474 ttl=64 time=30.4 ms
64 bytes from 10.0.0.2: icmp_seq=475 ttl=64 time=29.3 ms
64 bytes from 10.0.0.2: icmp_seq=477 ttl=64 time=27.4 ms
64 bytes from 10.0.0.2: icmp_seq=478 ttl=64 time=34.0 ms
64 bytes from 10.0.0.2: icmp_seq=482 ttl=64 time=32.3 ms
64 bytes from 10.0.0.2: icmp_seq=485 ttl=64 time=30.3 ms
64 bytes from 10.0.0.2: icmp_seq=486 ttl=64 time=34.0 ms
64 bytes from 10.0.0.2: icmp_seq=487 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=489 ttl=64 time=35.9 ms
64 bytes from 10.0.0.2: icmp_seq=490 ttl=64 time=31.0 ms
64 bytes from 10.0.0.2: icmp_seq=494 ttl=64 time=31.8 ms
64 bytes from 10.0.0.2: icmp_seq=496 ttl=64 time=29.0 ms
64 bytes from 10.0.0.2: icmp_seq=497 ttl=64 time=32.0 ms
64 bytes from 10.0.0.2: icmp_seq=502 ttl=64 time=29.8 ms
64 bytes from 10.0.0.2: icmp_seq=509 ttl=64 time=29.2 ms
64 bytes from 10.0.0.2: icmp_seq=513 ttl=64 time=32.7 ms
64 bytes from 10.0.0.2: icmp_seq=516 ttl=64 time=24.1 ms
64 bytes from 10.0.0.2: icmp_seq=517 ttl=64 time=32.7 ms
64 bytes from 10.0.0.2: icmp_seq=523 ttl=64 time=29.3 ms
64 bytes from 10.0.0.2: icmp_seq=530 ttl=64 time=30.3 ms
64 bytes from 10.0.0.2: icmp_seq=531 ttl=64 time=31.5 ms
64 bytes from 10.0.0.2: icmp_seq=534 ttl=64 time=30.3 ms
64 bytes from 10.0.0.2: icmp_seq=540 ttl=64 time=24.6 ms
64 bytes from 10.0.0.2: icmp_seq=542 ttl=64 time=26.5 ms
64 bytes from 10.0.0.2: icmp_seq=543 ttl=64 time=32.8 ms
64 bytes from 10.0.0.2: icmp_seq=546 ttl=64 time=33.9 ms
64 bytes from 10.0.0.2: icmp_seq=547 ttl=64 time=29.6 ms
64 bytes from 10.0.0.2: icmp_seq=551 ttl=64 time=26.3 ms
64 bytes from 10.0.0.2: icmp_seq=554 ttl=64 time=30.0 ms
64 bytes from 10.0.0.2: icmp_seq=555 ttl=64 time=32.7 ms
64 bytes from 10.0.0.2: icmp_seq=558 ttl=64 time=31.7 ms
64 bytes from 10.0.0.2: icmp_seq=563 ttl=64 time=33.4 ms
64 bytes from 10.0.0.2: icmp_seq=564 ttl=64 time=30.4 ms
64 bytes from 10.0.0.2: icmp_seq=565 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=568 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=572 ttl=64 time=30.1 ms
64 bytes from 10.0.0.2: icmp_seq=573 ttl=64 time=30.5 ms
64 bytes from 10.0.0.2: icmp_seq=575 ttl=64 time=25.3 ms
64 bytes from 10.0.0.2: icmp_seq=585 ttl=64 time=34.0 ms
64 bytes from 10.0.0.2: icmp_seq=587 ttl=64 time=25.1 ms
64 bytes from 10.0.0.2: icmp_seq=589 ttl=64 time=27.6 ms
64 bytes from 10.0.0.2: icmp_seq=591 ttl=64 time=29.8 ms
64 bytes from 10.0.0.2: icmp_seq=592 ttl=64 time=34.8 ms
64 bytes from 10.0.0.2: icmp_seq=593 ttl=64 time=34.0 ms
64 bytes from 10.0.0.2: icmp_seq=594 ttl=64 time=27.5 ms
64 bytes from 10.0.0.2: icmp_seq=595 ttl=64 time=37.2 ms
64 bytes from 10.0.0.2: icmp_seq=596 ttl=64 time=36.3 ms
64 bytes from 10.0.0.2: icmp_seq=597 ttl=64 time=17.3 ms
64 bytes from 10.0.0.2: icmp_seq=598 ttl=64 time=0.441 ms
64 bytes from 10.0.0.2: icmp_seq=599 ttl=64 time=0.633 ms
64 bytes from 10.0.0.2: icmp_seq=600 ttl=64 time=0.385 ms
64 bytes from 10.0.0.2: icmp_seq=601 ttl=64 time=0.334 ms
64 bytes from 10.0.0.2: icmp_seq=602 ttl=64 time=0.427 ms
64 bytes from 10.0.0.2: icmp_seq=603 ttl=64 time=0.362 ms
64 bytes from 10.0.0.2: icmp_seq=604 ttl=64 time=0.400 ms
64 bytes from 10.0.0.2: icmp_seq=605 ttl=64 time=0.483 ms
64 bytes from 10.0.0.2: icmp_seq=606 ttl=64 time=0.765 ms
64 bytes from 10.0.0.2: icmp_seq=607 ttl=64 time=0.384 ms
64 bytes from 10.0.0.2: icmp_seq=608 ttl=64 time=0.438 ms
64 bytes from 10.0.0.2: icmp_seq=609 ttl=64 time=0.357 ms
64 bytes from 10.0.0.2: icmp_seq=610 ttl=64 time=1.21 ms
64 bytes from 10.0.0.2: icmp_seq=611 ttl=64 time=0.386 ms
64 bytes from 10.0.0.2: icmp_seq=612 ttl=64 time=0.426 ms
64 bytes from 10.0.0.2: icmp_seq=613 ttl=64 time=0.497 ms
64 bytes from 10.0.0.2: icmp_seq=614 ttl=64 time=0.332 ms
64 bytes from 10.0.0.2: icmp_seq=615 ttl=64 time=0.396 ms
64 bytes from 10.0.0.2: icmp_seq=616 ttl=64 time=0.394 ms
64 bytes from 10.0.0.2: icmp_seq=617 ttl=64 time=1.15 ms
64 bytes from 10.0.0.2: icmp_seq=618 ttl=64 time=0.481 ms
64 bytes from 10.0.0.2: icmp_seq=619 ttl=64 time=0.336 ms
64 bytes from 10.0.0.2: icmp_seq=620 ttl=64 time=1.41 ms
64 bytes from 10.0.0.2: icmp_seq=621 ttl=64 time=0.384 ms
64 bytes from 10.0.0.2: icmp_seq=622 ttl=64 time=1.02 ms
64 bytes from 10.0.0.2: icmp_seq=623 ttl=64 time=64.8 ms
64 bytes from 10.0.0.2: icmp_seq=624 ttl=64 time=18.3 ms
64 bytes from 10.0.0.2: icmp_seq=625 ttl=64 time=42.7 ms
64 bytes from 10.0.0.2: icmp_seq=626 ttl=64 time=0.388 ms
64 bytes from 10.0.0.2: icmp_seq=627 ttl=64 time=0.400 ms
64 bytes from 10.0.0.2: icmp_seq=628 ttl=64 time=0.387 ms
