PING 10.0.0.3 (10.0.0.3) 56(84) bytes of data.
64 bytes from 10.0.0.3: icmp_seq=209 ttl=64 time=120 ms
64 bytes from 10.0.0.3: icmp_seq=210 ttl=64 time=123 ms
64 bytes from 10.0.0.3: icmp_seq=211 ttl=64 time=120 ms
64 bytes from 10.0.0.3: icmp_seq=213 ttl=64 time=121 ms
64 bytes from 10.0.0.3: icmp_seq=215 ttl=64 time=120 ms
64 bytes from 10.0.0.3: icmp_seq=216 ttl=64 time=119 ms
64 bytes from 10.0.0.3: icmp_seq=217 ttl=64 time=119 ms
64 bytes from 10.0.0.3: icmp_seq=218 ttl=64 time=123 ms
64 bytes from 10.0.0.3: icmp_seq=220 ttl=64 time=120 ms
64 bytes from 10.0.0.3: icmp_seq=222 ttl=64 time=120 ms
64 bytes from 10.0.0.3: icmp_seq=223 ttl=64 time=119 ms
64 bytes from 10.0.0.3: icmp_seq=224 ttl=64 time=119 ms
64 bytes from 10.0.0.3: icmp_seq=225 ttl=64 time=119 ms
64 bytes from 10.0.0.3: icmp_seq=227 ttl=64 time=123 ms
64 bytes from 10.0.0.3: icmp_seq=228 ttl=64 time=119 ms
64 bytes from 10.0.0.3: icmp_seq=229 ttl=64 time=120 ms
64 bytes from 10.0.0.3: icmp_seq=230 ttl=64 time=120 ms
64 bytes from 10.0.0.3: icmp_seq=231 ttl=64 time=123 ms
64 bytes from 10.0.0.3: icmp_seq=232 ttl=64 time=119 ms
64 bytes from 10.0.0.3: icmp_seq=234 ttl=64 time=123 ms
64 bytes from 10.0.0.3: icmp_seq=235 ttl=64 time=117 ms
64 bytes from 10.0.0.3: icmp_seq=236 ttl=64 time=119 ms
64 bytes from 10.0.0.3: icmp_seq=240 ttl=64 time=121 ms
64 bytes from 10.0.0.3: icmp_seq=243 ttl=64 time=120 ms
64 bytes from 10.0.0.3: icmp_seq=244 ttl=64 time=120 ms
64 bytes from 10.0.0.3: icmp_seq=245 ttl=64 time=19.8 ms
64 bytes from 10.0.0.3: icmp_seq=246 ttl=64 time=0.477 ms
64 bytes from 10.0.0.3: icmp_seq=247 ttl=64 time=0.146 ms
64 bytes from 10.0.0.3: icmp_seq=248 ttl=64 time=0.264 ms
64 bytes from 10.0.0.3: icmp_seq=249 ttl=64 time=0.132 ms
64 bytes from 10.0.0.3: icmp_seq=250 ttl=64 time=0.138 ms
64 bytes from 10.0.0.3: icmp_seq=251 ttl=64 time=0.173 ms
64 bytes from 10.0.0.3: icmp_seq=252 ttl=64 time=0.308 ms
64 bytes from 10.0.0.3: icmp_seq=253 ttl=64 time=0.158 ms
64 bytes from 10.0.0.3: icmp_seq=254 ttl=64 time=0.188 ms
64 bytes from 10.0.0.3: icmp_seq=255 ttl=64 time=2.22 ms
64 bytes from 10.0.0.3: icmp_seq=256 ttl=64 time=0.312 ms
64 bytes from 10.0.0.3: icmp_seq=257 ttl=64 time=0.245 ms
64 bytes from 10.0.0.3: icmp_seq=258 ttl=64 time=0.254 ms
64 bytes from 10.0.0.3: icmp_seq=259 ttl=64 time=0.150 ms
64 bytes from 10.0.0.3: icmp_seq=260 ttl=64 time=0.202 ms
64 bytes from 10.0.0.3: icmp_seq=261 ttl=64 time=0.150 ms
64 bytes from 10.0.0.3: icmp_seq=262 ttl=64 time=0.165 ms
64 bytes from 10.0.0.3: icmp_seq=263 ttl=64 time=0.271 ms
64 bytes from 10.0.0.3: icmp_seq=264 ttl=64 time=0.333 ms
64 bytes from 10.0.0.3: icmp_seq=265 ttl=64 time=0.418 ms
64 bytes from 10.0.0.3: icmp_seq=266 ttl=64 time=0.222 ms
64 bytes from 10.0.0.3: icmp_seq=267 ttl=64 time=0.306 ms
64 bytes from 10.0.0.3: icmp_seq=268 ttl=64 time=0.164 ms
64 bytes from 10.0.0.3: icmp_seq=269 ttl=64 time=0.162 ms
64 bytes from 10.0.0.3: icmp_seq=270 ttl=64 time=0.165 ms
64 bytes from 10.0.0.3: icmp_seq=271 ttl=64 time=0.195 ms
64 bytes from 10.0.0.3: icmp_seq=272 ttl=64 time=0.143 ms
64 bytes from 10.0.0.3: icmp_seq=273 ttl=64 time=0.287 ms
64 bytes from 10.0.0.3: icmp_seq=274 ttl=64 time=0.324 ms
64 bytes from 10.0.0.3: icmp_seq=275 ttl=64 time=0.200 ms
64 bytes from 10.0.0.3: icmp_seq=276 ttl=64 time=0.210 ms
64 bytes from 10.0.0.3: icmp_seq=277 ttl=64 time=0.446 ms
64 bytes from 10.0.0.3: icmp_seq=278 ttl=64 time=0.881 ms
64 bytes from 10.0.0.3: icmp_seq=279 ttl=64 time=0.127 ms
